152	12	1	31
153	11	1	31
154	10	1	31
155	9	1	31
156	9	2	32
157	8	1	31
158	7	1	31
159	6	1	31
160	5	1	31
161	4	1	31
162	3	1	31
163	2	1	31
164	1	1	31
165	12	1	31
166	11	1	31
167	10	1	31
168	10	2	32
169	9	1	31
170	8	1	31
171	7	1	31
172	6	1	31
173	5	1	31
174	5	2	32
175	4	1	31
176	3	1	31
177	2	1	31
178	1	1	31
179	12	1	31
180	11	1	31
181	10	1	31
182	9	1	31
183	8	1	31
184	7	1	31
185	6	1	31
186	5	1	31
187	4	1	31
188	3	1	31
189	2	1	31
190	1	1	31
191	12	1	31
192	11	1	31
193	10	1	31
194	9	1	31
195	8	1	31
196	7	1	31
197	6	1	31
198	6	2	32
199	5	1	31
200	4	1	31
201	3	1	31
202	2	1	31
203	1	1	31
204	12	1	31
205	11	1	31
206	10	1	31
207	9	1	31
208	8	1	31
209	7	1	31
210	6	1	31
211	5	1	31
212	4	1	31
213	3	1	31
214	3	2	32
215	2	1	31
216	1	1	31
217	12	1	31
218	11	1	31
219	10	1	31
220	9	1	31
221	8	1	31
222	7	1	31
223	7	2	32
224	6	1	31
225	5	1	31
226	4	1	31
227	3	1	31
228	2	1	31
229	1	1	31
230	1	2	32
231	12	1	31
232	11	1	31
233	10	1	31
234	9	1	31
235	8	1	31
236	7	1	31
237	7	2	32
238	6	1	31
239	5	1	31
240	4	1	31
241	4	2	32
242	3	1	31
243	2	1	31
244	1	1	31
245	12	1	31
246	11	1	31
247	10	1	31
248	9	1	31
249	9	2	32
250	8	1	31
251	7	1	31
252	6	1	31
253	5	1	31
254	4	1	31
255	3	1	31
256	2	1	31
257	1	1	31
258	12	1	31
259	11	1	31
260	10	1	31
261	9	1	31
262	8	1	31
263	8	2	32
264	7	1	31
265	6	1	31
266	5	1	31
267	4	1	31
268	3	1	31
269	2	1	31
270	1	1	31
271	12	1	31
272	11	1	31
273	10	1	31
274	9	1	31
275	8	1	31
276	7	1	31
277	7	2	32
278	6	1	31
279	5	1	31
280	5	2	32
281	4	1	31
282	3	1	31
283	3	2	32
284	2	1	31
285	1	1	31
286	12	1	31
287	11	1	31
288	10	1	31
289	9	1	31
290	9	2	32
291	8	1	31
292	7	1	31
293	6	1	31
294	5	1	31
295	4	1	31
296	3	1	31
297	2	1	31
298	1	1	31
299	12	1	31
300	11	1	31
301	10	1	31
302	9	1	31
303	8	1	31
304	7	1	31
305	6	1	31
306	5	1	31
307	4	1	31
308	4	2	32
309	3	1	31
310	2	1	31
311	1	1	31
312	12	1	31
313	11	1	31
314	10	1	31
315	9	1	31
316	8	1	31
317	7	1	31
318	6	1	31
319	5	1	31
320	4	1	31
321	3	1	31
322	3	2	32
323	2	1	31
324	1	1	31
325	12	1	31
326	11	1	31
327	10	1	31
328	9	1	31
329	8	1	31
330	7	1	31
