453	10	1	21
454	9	1	21
455	8	1	21
456	7	1	21
457	6	1	21
458	5	1	21
459	4	1	21
460	3	1	21
461	2	1	21
462	1	1	21
463	12	1	21
464	11	1	21
465	10	1	21
466	9	1	21
467	8	1	21
468	7	1	21
469	6	1	21
470	5	1	21
471	4	1	21
472	3	1	21
473	2	1	21
474	1	1	21
475	12	1	21
476	11	1	21
477	10	1	21
478	9	1	21
479	8	1	21
480	7	1	21
481	6	1	21
482	5	1	21
483	4	1	21
484	3	1	21
485	2	1	21
486	1	1	21
487	12	1	21
488	1	2	22
489	12	1	21
490	11	1	21
491	10	1	21
492	9	1	21
493	8	1	21
494	7	1	21
495	8	2	22
496	7	1	21
497	6	1	21
498	5	1	21
499	4	1	21
500	3	1	21
501	2	1	21
502	1	1	21
503	12	1	21
504	1	2	22
505	12	1	21
506	11	1	21
507	10	1	21
508	9	1	21
509	8	1	21
510	7	1	21
511	6	1	21
512	5	1	21
513	6	2	22
514	5	1	21
515	4	1	21
516	3	1	21
517	2	1	21
518	3	2	22
519	2	1	21
520	1	1	21
521	12	1	21
522	11	1	21
523	10	1	21
524	9	1	21
525	10	2	22
526	9	1	21
527	8	1	21
528	7	1	21
529	6	1	21
530	5	1	21
531	4	1	21
532	5	2	22
533	4	1	21
534	3	1	21
535	2	1	21
536	1	1	21
537	12	1	21
538	11	1	21
539	10	1	21
540	9	1	21
541	10	2	22
542	9	1	21
543	8	1	21
544	7	1	21
545	6	1	21
546	5	1	21
547	4	1	21
548	3	1	21
549	2	1	21
550	1	1	21
551	12	1	21
552	11	1	21
553	10	1	21
554	9	1	21
555	8	1	21
556	7	1	21
557	6	1	21
558	7	2	22
559	6	1	21
560	5	1	21
561	4	1	21
562	3	1	21
563	2	1	21
564	1	1	21
565	12	1	21
566	11	1	21
567	10	1	21
568	9	1	21
569	8	1	21
570	9	2	22
571	8	1	21
572	7	1	21
573	6	1	21
574	5	1	21
575	4	1	21
576	3	1	21
577	2	1	21
578	1	1	21
579	12	1	21
580	11	1	21
581	10	1	21
582	9	1	21
583	8	1	21
584	7	1	21
585	6	1	21
586	7	2	22
587	6	1	21
588	5	1	21
589	4	1	21
590	3	1	21
591	2	1	21
592	1	1	21
593	2	2	22
594	1	1	21
595	12	1	21
596	11	1	21
597	10	1	21
598	9	1	21
599	8	1	21
